com.samsung.health.floors_climbed,6195017,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-05 00:48:31.999,,2021-10-05 00:49:57.628,2021-10-05 00:49:57.518,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 00:49:11.000,a466a19c-3cd1-4d75-9bd7-9cbb3002faa2,
2021-10-27 07:24:05.000,,2021-10-27 07:28:46.259,2021-10-27 07:28:46.199,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 07:24:40.000,c27b7931-44dd-4a10-85b9-cbc10a5c9945,
2021-10-05 08:24:49.001,,2021-10-05 08:33:30.845,2021-10-05 08:33:30.792,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 08:25:09.000,69c5742f-5390-4865-a879-06b18e58aba6,
2021-10-06 02:46:19.000,,2021-10-06 02:47:41.353,2021-10-06 02:47:41.239,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 02:46:47.001,bec45425-4c00-4a40-96c6-70e51a9575c9,
2021-10-29 00:07:37.999,,2021-10-29 00:16:43.947,2021-10-29 00:16:43.880,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 00:07:50.000,a231400e-6e1f-4b42-a7af-727051f363df,
2021-10-06 08:17:02.000,,2021-10-06 08:38:46.211,2021-10-06 08:38:45.993,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 08:17:16.001,6f8ee2fa-6ce8-450b-bb42-bbf298b33b01,
2021-10-29 09:34:04.999,,2021-10-29 09:35:52.483,2021-10-29 09:35:52.309,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 09:34:25.000,6524c4b2-6455-4dfd-b31d-1abca4c8d68e,
2021-10-07 00:45:15.999,,2021-10-07 00:47:07.657,2021-10-07 00:47:07.590,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 00:45:52.001,0bd290d5-85d7-4046-bf2d-e8743e2cf2ec,
2021-10-07 03:15:31.000,,2021-10-07 04:14:38.604,2021-10-07 04:14:38.477,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 03:15:51.000,7a50a162-260f-404d-bfa8-ef326295da71,
2021-10-01 08:26:43.001,,2021-10-01 08:27:16.248,2021-10-01 08:27:16.092,3.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 08:27:08.000,b2c003f9-648b-44f8-a8da-d097db4339a6,
2021-10-08 00:41:31.000,,2021-10-08 00:49:04.800,2021-10-08 00:49:04.708,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 00:41:49.000,7a1341c5-9a43-4a65-9ced-5ddfcfeb7212,
2021-10-08 00:49:00.999,,2021-10-08 00:53:06.600,2021-10-08 00:53:06.540,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 00:49:37.000,287d442b-3dfc-43e7-aac1-ecf508003fcb,
2021-10-05 09:25:49.999,,2021-10-05 09:28:47.008,2021-10-05 09:28:46.910,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 09:26:00.001,6de91e9f-af10-43bd-af64-ddeba73fbbc5,
2021-10-08 09:44:54.000,,2021-10-08 09:45:49.591,2021-10-08 09:45:49.159,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 09:45:14.999,944854f5-5a91-4662-a15e-a1746041a4aa,
2021-10-09 06:55:19.000,,2021-10-09 07:06:37.022,2021-10-09 07:06:36.936,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 06:55:42.000,2609ac16-5fc3-40fe-897a-276732f29022,
2021-10-09 03:07:40.000,,2021-10-09 03:08:37.419,2021-10-09 03:08:37.244,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 03:08:01.000,fafff3d5-7c51-49f3-b68d-9b93f7a0d80d,
2021-10-06 09:25:34.000,,2021-10-06 09:26:12.860,2021-10-06 09:26:12.687,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 09:25:56.999,fdf4c656-229d-4f75-a378-6348d17a6870,
2021-10-09 07:14:53.000,,2021-10-09 07:18:10.493,2021-10-09 07:18:10.386,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 07:15:21.000,2db54de7-dad6-4f9a-ab54-b3df3d4ccf45,
2021-10-12 10:56:12.000,,2021-10-12 11:00:06.320,2021-10-12 11:00:06.235,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 10:56:32.000,e6065907-7346-4a2b-9974-db72c2767c3b,
2021-10-07 05:47:31.000,,2021-10-07 05:52:57.773,2021-10-07 05:52:56.872,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 05:48:09.000,c4aec88c-e125-4dba-a2f7-be8896f6fe62,
2021-10-12 11:12:15.000,,2021-10-12 11:14:00.202,2021-10-12 11:13:59.859,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 11:12:33.000,3898a27c-7766-4d9a-9a67-699fb2b0e28d,
2021-10-08 02:51:03.000,,2021-10-08 02:53:56.477,2021-10-08 02:53:56.315,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 02:52:00.000,2915b033-077c-4e8c-920b-cf5a07e91dd2,
2021-10-13 01:42:56.000,,2021-10-13 01:45:20.771,2021-10-13 01:45:20.677,3.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 01:44:08.000,da4a0916-6c6e-4cda-acd8-5ead49731399,
2021-10-13 03:08:39.001,,2021-10-13 03:13:25.188,2021-10-13 03:09:00.526,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 03:09:04.000,779127b9-f802-48fb-b036-93c713add899,
2021-10-09 03:09:04.000,,2021-10-09 03:10:19.415,2021-10-09 03:10:19.197,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 03:09:23.000,ad6a58e5-8af5-4aed-8b45-65642f9e4431,
2021-10-19 03:12:36.000,,2021-10-19 04:07:29.825,2021-10-19 04:07:29.726,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-19 03:13:09.999,1ba25ae4-8795-40a5-a089-af5fda70d3c6,
2021-10-19 04:30:44.001,,2021-10-19 04:45:44.614,2021-10-19 04:45:44.525,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-19 04:31:19.000,d5aba6ec-2d56-4b1e-a0af-f1ac14d4c9bf,
2021-10-11 22:44:06.000,,2021-10-11 22:44:46.010,2021-10-11 22:44:45.946,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-11 22:44:31.000,89ea5ced-c888-4332-bbc1-7fa97dee0ceb,
2021-10-20 07:26:29.001,,2021-10-20 07:43:44.861,2021-10-20 07:26:58.957,3.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-20 07:28:32.000,34da38e1-ab56-4441-a94e-04fbae5b45ae,
2021-10-20 09:45:19.999,,2021-10-20 13:41:43.618,2021-10-20 13:41:43.545,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-20 09:45:39.999,b0ee5553-7a52-46ed-932d-bfee3d8c80ea,
2021-10-26 00:52:40.000,,2021-10-26 00:58:51.109,2021-10-26 00:58:51.026,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-26 00:53:01.000,3f45a4bd-e5ef-468e-9e49-3cbcbc640af8,
2021-10-12 23:14:43.000,,2021-10-12 23:30:25.912,2021-10-12 23:30:25.822,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 23:15:00.000,3ab0d83d-c9b0-4553-b4ea-723757480c1c,
2021-10-27 08:11:38.001,,2021-10-27 08:12:29.883,2021-10-27 08:12:29.825,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 08:12:04.999,c4e98264-8010-49b1-8653-ee015ab8e23b,
2021-10-26 02:38:32.000,,2021-10-26 02:41:30.363,2021-10-26 02:39:13.299,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-26 02:39:19.000,1c9f6ec8-4a23-4386-a0ad-166bfcb91a7b,
