com.samsung.shealth.tracker.pedometer_day_summary,6195017,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3976,5e7db833-7133-46e2-9547-6ea3483b9617.binning_data.json,2277300,6000,9,2021-10-05 07:31:39.266,com.sec.android.app.shealth,2021-10-05 07:31:39.266,5e7db833-7133-46e2-9547-6ea3483b9617.source_info.json,1.3305973,3030.17,200.51999,3967,VfS0qUERdZ,com.sec.android.app.shealth,0,5e7db833-7133-46e2-9547-6ea3483b9617.achievement.json,5e7db833-7133-46e2-9547-6ea3483b9617,1631318400000,
6189,a5d57d68-dd79-4151-8702-c5b3bb69c716.binning_data.json,3194986,6000,0,2021-10-15 18:23:15.715,com.sec.android.app.shealth,2021-10-15 18:23:15.715,,1.3216989,4222.81,190.37,6189,6fPiwL19M5,com.sec.android.app.shealth,0,a5d57d68-dd79-4151-8702-c5b3bb69c716.achievement.json,a5d57d68-dd79-4151-8702-c5b3bb69c716,1634256000000,
5459,1fc4da31-bfbc-4e20-b219-2335b469b68c.binning_data.json,3189833,6000,0,2021-10-15 18:23:21.688,com.sec.android.app.shealth,2021-10-14 16:22:42.752,,1.16654,3721.0684,161.89072,5459,DQQ9M5Fmpd,com.sec.android.app.shealth,0,1fc4da31-bfbc-4e20-b219-2335b469b68c.achievement.json,1fc4da31-bfbc-4e20-b219-2335b469b68c,1634169600000,
3561,52e67bc0-80a0-4cb6-83be-9fdba4eed186.binning_data.json,2115796,6000,8,2021-10-05 07:03:10.435,com.sec.android.app.shealth,2021-10-05 07:03:10.435,,1.2566097,2658.73,181.53,3553,6fPiwL19M5,com.sec.android.app.shealth,0,52e67bc0-80a0-4cb6-83be-9fdba4eed186.achievement.json,52e67bc0-80a0-4cb6-83be-9fdba4eed186,1631664000000,
11288,e0d4e5ff-14bb-45e9-963b-beae752e0364.binning_data.json,5842009,6000,19,2021-10-07 13:37:05.216,com.sec.android.app.shealth,2021-10-06 22:54:08.389,e0d4e5ff-14bb-45e9-963b-beae752e0364.source_info.json,1.3286465,7761.9653,342.7008,11269,VfS0qUERdZ,com.sec.android.app.shealth,0,e0d4e5ff-14bb-45e9-963b-beae752e0364.achievement.json,e0d4e5ff-14bb-45e9-963b-beae752e0364,1633564800000,
9989,59e90ddf-9c0b-4017-9cb9-7c84ec49d19d.binning_data.json,5676128,6000,4,2021-10-09 22:15:39.197,com.sec.android.app.shealth,2021-10-09 00:21:05.463,59e90ddf-9c0b-4017-9cb9-7c84ec49d19d.source_info.json,1.2084426,6859.276,294.42606,9985,VfS0qUERdZ,com.sec.android.app.shealth,0,59e90ddf-9c0b-4017-9cb9-7c84ec49d19d.achievement.json,59e90ddf-9c0b-4017-9cb9-7c84ec49d19d,1633737600000,
28,63b8fd69-fefd-489e-a3a5-2734d2b5757d.binning_data.json,17320,6000,0,2021-10-17 18:43:57.713,com.sec.android.app.shealth,2021-10-17 18:43:57.713,63b8fd69-fefd-489e-a3a5-2734d2b5757d.source_info.json,1.0761882,18.639767,0.75997066,28,VfS0qUERdZ,com.sec.android.app.shealth,0,63b8fd69-fefd-489e-a3a5-2734d2b5757d.achievement.json,63b8fd69-fefd-489e-a3a5-2734d2b5757d,1634428800000,
6065,9d0d0a6b-8e57-483f-b525-5ed4ba9906d4.binning_data.json,3123415,6000,7,2021-10-18 21:13:51.610,com.sec.android.app.shealth,2021-10-17 22:35:03.069,9d0d0a6b-8e57-483f-b525-5ed4ba9906d4.source_info.json,1.3416158,4190.4233,186.62834,6058,VfS0qUERdZ,com.sec.android.app.shealth,0,9d0d0a6b-8e57-483f-b525-5ed4ba9906d4.achievement.json,9d0d0a6b-8e57-483f-b525-5ed4ba9906d4,1634515200000,
4939,f2c2b12b-6594-4ca6-a42e-03d683198781.binning_data.json,2896124,6000,0,2021-10-05 07:03:11.107,com.sec.android.app.shealth,2021-10-05 07:03:11.107,,1.2489104,3617.0,260.99,4939,6fPiwL19M5,com.sec.android.app.shealth,0,f2c2b12b-6594-4ca6-a42e-03d683198781.achievement.json,f2c2b12b-6594-4ca6-a42e-03d683198781,1632441600000,
2542,54f0b0b1-f416-4a34-826c-9bae432e3f72.binning_data.json,1313907,6000,0,2021-10-19 19:06:45.177,com.sec.android.app.shealth,2021-10-19 19:06:45.177,,1.294848,1701.31,79.31,2542,6fPiwL19M5,com.sec.android.app.shealth,0,54f0b0b1-f416-4a34-826c-9bae432e3f72.achievement.json,54f0b0b1-f416-4a34-826c-9bae432e3f72,1634601600000,
