com.samsung.shealth.activity.day_summary,6195017,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4939,3192599,90,0,2021-10-05 07:03:08.884,2021-10-01 01:43:50.365,-1,180000,58,3617.0007,260.98996,dafb6d40-743c-426e-a7f7-a380db3282da.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,3192599,31920000,dafb6d40-743c-426e-a7f7-a380db3282da,1632441600000,
9989,6532781,90,0,2021-10-09 22:15:44.814,2021-10-08 15:46:28.116,-1,684611,120,6840.7803,313.08237,1c590289-24d9-4f06-bb92-aece5d53dc74.extra_data.json,6fPiwL19M5,1600,com.sec.android.app.shealth,6531181,23880000,1c590289-24d9-4f06-bb92-aece5d53dc74,1633737600000,
7253,4481451,90,0,2021-10-05 12:17:29.877,2021-10-04 15:00:00.629,-1,300000,82,5149.421,282.02994,aa6e3a63-c9aa-40e9-a4f0-bcb2db0fca55.extra_data.json,6fPiwL19M5,19654,com.sec.android.app.shealth,4461797,23220000,aa6e3a63-c9aa-40e9-a4f0-bcb2db0fca55,1633392000000,
7429,4755504,90,0,2021-10-05 07:03:10.534,2021-10-01 01:43:53.006,-1,540000,87,5586.7183,379.62988,5eff5e2f-4add-4bbc-8013-402631736d2c.extra_data.json,6fPiwL19M5,6000,com.sec.android.app.shealth,4749504,25620000,5eff5e2f-4add-4bbc-8013-402631736d2c,1632960000000,
6466,3902102,90,257600,2021-10-15 11:16:23.951,2021-10-14 16:22:01.911,-1,938866,71,3917.5918,211.17204,78d632d1-c7ad-4b84-93fb-f2df88d278dc.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,3644502,30540000,78d632d1-c7ad-4b84-93fb-f2df88d278dc,1634256000000,
23,15341,90,0,2021-10-11 21:38:26.052,2021-10-10 15:00:01.198,-1,8671,0,16.220001,0.65,b4b901d9-bbae-4b91-b184-a4e8fc0c282a.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,15341,78840000,b4b901d9-bbae-4b91-b184-a4e8fc0c282a,1633910400000,
11288,7113418,90,0,2021-10-07 13:37:05.140,2021-10-06 16:21:10.830,-1,1045996,131,7237.754,351.94864,47843168-7a0a-4e16-9209-ba052f361111.extra_data.json,6fPiwL19M5,5669,com.sec.android.app.shealth,7107749,28020000,47843168-7a0a-4e16-9209-ba052f361111,1633564800000,
5384,3267252,90,0,2021-10-22 00:47:53.647,2021-10-20 15:00:16.943,-1,1010840,60,3287.4338,148.44598,8d37a857-881b-44ca-b8e0-7b8ef6a8e138.extra_data.json,6fPiwL19M5,7747,com.sec.android.app.shealth,3259505,29580000,8d37a857-881b-44ca-b8e0-7b8ef6a8e138,1634774400000,
28,18676,90,0,2021-10-17 18:43:57.742,2021-10-16 15:19:42.335,-1,6670,0,18.639767,0.75997066,fc9f8760-2d56-4edf-b02b-06b398a640ec.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,18676,50279999,fc9f8760-2d56-4edf-b02b-06b398a640ec,1634428800000,
8356,5016819,90,0,2021-10-13 21:48:49.700,2021-10-12 15:02:42.913,-1,893372,92,5678.2104,282.40088,55b5ca4f-a393-4807-bd34-b6dae30d767c.extra_data.json,6fPiwL19M5,17901,com.sec.android.app.shealth,4998918,17640000,55b5ca4f-a393-4807-bd34-b6dae30d767c,1634083200000,
19,12673,90,0,2021-10-23 08:31:31.807,2021-10-22 16:45:30.376,-1,8004,0,13.309999,0.49,25fca7cb-5bec-445b-b0b2-1dd0b43ed400.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,12673,61020000,25fca7cb-5bec-445b-b0b2-1dd0b43ed400,1634947200000,
6065,3500033,90,0,2021-10-18 21:13:51.306,2021-10-18 15:00:01.990,-1,480000,64,4190.4233,186.62833,f4f0cd5f-6899-4ce9-9a9a-fc33dcb79817.extra_data.json,6fPiwL19M5,2436,com.sec.android.app.shealth,3497597,28800000,f4f0cd5f-6899-4ce9-9a9a-fc33dcb79817,1634515200000,
8546,5270074,90,0,2021-10-27 11:40:11.463,2021-10-26 17:52:55.804,-1,1242731,96,5984.2505,414.6522,a44e69d7-552d-4d44-a7c4-2105848e91e1.extra_data.json,6fPiwL19M5,4000,com.sec.android.app.shealth,5266074,13440000,a44e69d7-552d-4d44-a7c4-2105848e91e1,1635292800000,
5896,3346623,90,0,2021-10-26 00:57:02.663,2021-10-24 16:12:10.180,-1,480000,61,4137.12,222.72,f37f3deb-64c0-42b5-b963-85ce294abaa8.extra_data.json,6fPiwL19M5,10704,com.sec.android.app.shealth,3335919,27720000,f37f3deb-64c0-42b5-b963-85ce294abaa8,1635120000000,
6753,4034937,90,0,2021-10-29 21:58:01.059,2021-10-28 19:43:33.978,-1,360000,74,4784.3965,318.51068,6692d127-2353-4713-9f61-416a4ab9510d.extra_data.json,6fPiwL19M5,4457,com.sec.android.app.shealth,4030480,27360000,6692d127-2353-4713-9f61-416a4ab9510d,1635465600000,
51,34017,90,0,2021-10-31 17:02:05.978,2021-10-30 16:39:31.553,-1,16008,0,37.780003,2.1800003,e112b947-1ae5-42e3-91c5-d0dbb80f2e2e.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,34017,47880000,e112b947-1ae5-42e3-91c5-d0dbb80f2e2e,1635638400000,
