com.samsung.shealth.sleep_snoring,6195017,2
duration,start_time,custom,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
80073,2021-10-18 19:55:47.768,,2021-10-18 21:13:45.361,2021-10-18 21:13:45.361,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 19:57:07.841,5bdf00eb-4f3d-4880-9acf-68eb86efa83e,
119086,2021-10-04 16:55:39.280,,2021-10-04 21:54:22.012,2021-10-04 21:54:22.012,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 16:57:38.366,5c993cd3-ad5d-47c3-81b5-4fa16290623f,
205356,2021-10-18 19:37:43.863,,2021-10-18 21:13:45.360,2021-10-18 21:13:45.360,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 19:41:09.219,15cf8f92-6811-4789-8470-91e7dfc7efab,
172576,2021-10-04 21:04:40.094,,2021-10-04 21:54:22.021,2021-10-04 21:54:22.021,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 21:07:32.670,5a0aa8c4-b310-4e5c-8efb-0b905ce316aa,
84639,2021-10-13 16:54:15.424,,2021-10-13 21:48:43.552,2021-10-13 21:48:43.552,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 16:55:40.063,acc04b4c-329e-4971-8636-89d3613ababc,
839083,2021-10-31 15:26:39.839,,2021-10-31 17:01:18.368,2021-10-31 17:01:18.368,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 15:40:38.922,1d47d90a-71da-4fa6-89a8-20c2a8a587b1,
86863,2021-10-13 17:07:41.427,,2021-10-13 21:48:43.553,2021-10-13 21:48:43.553,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 17:09:08.290,fe3030b2-7f4b-41c8-be59-26f5f6fc68fd,
139629,2021-10-13 15:17:46.722,,2021-10-13 21:48:43.548,2021-10-13 21:48:43.548,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 15:20:06.351,9bd4b951-712d-4620-9acf-b046a4e53dda,
77323,2021-10-31 17:43:58.377,,2021-10-31 21:22:34.740,2021-10-31 21:22:34.740,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 17:45:15.700,14c0e827-f723-4ea1-9e8e-2ec97bbf79d3,
112410,2021-10-13 17:34:14.579,,2021-10-13 21:48:43.554,2021-10-13 21:48:43.554,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 17:36:06.989,fae68775-0e52-4a0d-868b-255377db49c8,
920649,2021-10-04 17:29:46.142,,2021-10-04 21:54:22.015,2021-10-04 21:54:22.015,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:45:06.791,dce57490-29e3-437c-bcc7-785941371981,
80103,2021-10-18 20:57:19.344,,2021-10-18 21:13:45.362,2021-10-18 21:13:45.362,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 20:58:39.447,b2266314-fff7-4c6c-be7e-e1779a243fd3,
85851,2021-10-31 18:36:19.378,,2021-10-31 21:22:34.744,2021-10-31 21:22:34.744,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 18:37:45.229,1033d508-3381-46bb-b410-aa6013f1966e,
174822,2021-10-04 18:29:42.226,,2021-10-04 21:54:22.017,2021-10-04 21:54:22.017,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:32:37.048,3bf0667b-3730-42cb-b269-24463c46c111,
