com.samsung.shealth.step_daily_trend,6195017,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a956288a-c032-45b9-b827-50eeba6b388a.binning_data.json,2021-10-05 07:31:38.907,2021-10-05 07:31:38.907,com.sec.android.app.shealth,-2,3561,1.2566097,2658.73,181.53,VfS0qUERdZ,com.sec.android.app.shealth,a956288a-c032-45b9-b827-50eeba6b388a,1631664000000,
481f45c9-7ec3-4e6c-92b5-ad7fb75083bc.binning_data.json,2021-10-15 19:45:29.225,2021-10-15 19:45:29.225,com.sec.android.app.shealth,-2,11,1.0555556,7.3,0.33,VfS0qUERdZ,com.sec.android.app.shealth,481f45c9-7ec3-4e6c-92b5-ad7fb75083bc,1634342400000,
5ca35c9b-9034-49dc-9cd4-3096bfd6b29a.binning_data.json,2021-10-05 07:31:39.242,2021-10-05 07:31:39.242,com.sec.android.app.shealth,-2,2794,1.3383081,2141.97,139.47,VfS0qUERdZ,com.sec.android.app.shealth,5ca35c9b-9034-49dc-9cd4-3096bfd6b29a,1631404800000,
22aa1288-a82f-41a5-ba72-9668ee9041f1.binning_data.json,2021-10-17 18:43:57.766,2021-10-17 18:43:57.766,com.sec.android.app.shealth,-2,28,1.0761882,18.639767,0.75997066,VfS0qUERdZ,com.sec.android.app.shealth,22aa1288-a82f-41a5-ba72-9668ee9041f1,1634428800000,
fbfbe0f3-0762-4392-b384-bb356c05b6af.binning_data.json,2021-10-13 21:48:49.783,2021-10-12 21:50:40.906,com.sec.android.app.shealth,-2,8356,1.3543782,5736.5513,260.0899,VfS0qUERdZ,com.sec.android.app.shealth,fbfbe0f3-0762-4392-b384-bb356c05b6af,1634083200000,
8aa8b767-022f-4f09-9366-80a09c095481.binning_data.json,2021-10-05 07:31:39.612,2021-10-05 07:31:39.612,com.sec.android.app.shealth,-2,4519,1.3373274,3345.83,248.24,VfS0qUERdZ,com.sec.android.app.shealth,8aa8b767-022f-4f09-9366-80a09c095481,1631145600000,
e52923a9-ffa4-4f64-9b65-00bdb29d49c9.binning_data.json,2021-10-19 19:06:50.528,2021-10-18 15:00:08.311,com.sec.android.app.shealth,102,5381,1.317761,3784.5464,161.81226,DQQ9M5Fmpd,com.sec.android.app.shealth,e52923a9-ffa4-4f64-9b65-00bdb29d49c9,1634515200000,
fe3aa2d9-6363-4aa2-9c33-39fce724b153.binning_data.json,2021-10-06 16:21:43.451,2021-10-06 16:21:43.451,com.sec.android.app.shealth,0,6330,1.2770058,4279.89,194.76,6fPiwL19M5,com.sec.android.app.shealth,fe3aa2d9-6363-4aa2-9c33-39fce724b153,1633478400000,
25361e77-62f7-432c-a165-b181153a82e0.binning_data.json,2021-10-19 19:06:45.544,2021-10-19 19:06:45.544,com.sec.android.app.shealth,0,2542,1.294848,1701.31,79.31,6fPiwL19M5,com.sec.android.app.shealth,25361e77-62f7-432c-a165-b181153a82e0,1634601600000,
05042a57-5000-4851-838f-291515c869ff.binning_data.json,2021-10-07 16:38:34.075,2021-10-07 16:38:34.075,com.sec.android.app.shealth,0,7276,1.3221868,4888.71,228.85,6fPiwL19M5,com.sec.android.app.shealth,05042a57-5000-4851-838f-291515c869ff,1633564800000,
3bebc02d-cf20-4b8a-83d8-e3fd8fa70e77.binning_data.json,2021-10-21 16:55:09.159,2021-10-20 15:00:25.137,com.sec.android.app.shealth,102,7002,1.3050638,4909.1064,221.42108,DQQ9M5Fmpd,com.sec.android.app.shealth,3bebc02d-cf20-4b8a-83d8-e3fd8fa70e77,1634688000000,
5626e875-8e00-43a1-b8ac-12a034658485.binning_data.json,2021-10-09 15:00:08.216,2021-10-09 15:00:08.216,com.sec.android.app.shealth,0,8,1.0000001,5.49,0.21,6fPiwL19M5,com.sec.android.app.shealth,5626e875-8e00-43a1-b8ac-12a034658485,1633737600000,
e236c3e9-a696-4c61-8501-a4d784c4e63c.binning_data.json,2021-10-11 21:38:26.306,2021-10-11 21:38:26.306,com.sec.android.app.shealth,-2,23,1.4053228,16.220001,0.65,VfS0qUERdZ,com.sec.android.app.shealth,e236c3e9-a696-4c61-8501-a4d784c4e63c,1633910400000,
d1654c2e-7caa-471c-9443-0d4eb5c708cb.binning_data.json,2021-10-13 15:00:03.328,2021-10-13 15:00:03.328,com.sec.android.app.shealth,0,7589,1.365512,5146.21,238.74,6fPiwL19M5,com.sec.android.app.shealth,d1654c2e-7caa-471c-9443-0d4eb5c708cb,1634083200000,
7067144b-2de9-4b10-9d94-68ae09fb2d88.binning_data.json,2021-10-15 18:23:16.030,2021-10-15 18:23:16.030,com.sec.android.app.shealth,0,6189,1.3216989,4222.81,190.37,6fPiwL19M5,com.sec.android.app.shealth,7067144b-2de9-4b10-9d94-68ae09fb2d88,1634256000000,
967ec1d6-e417-4c98-ae74-a2ce9126d924.binning_data.json,2021-10-18 21:13:51.663,2021-10-17 22:35:03.130,com.sec.android.app.shealth,-2,6065,1.3416158,4190.4233,186.62834,VfS0qUERdZ,com.sec.android.app.shealth,967ec1d6-e417-4c98-ae74-a2ce9126d924,1634515200000,
bd72c982-f6c4-4560-a061-f720af5d0516.binning_data.json,2021-10-21 16:53:58.010,2021-10-21 16:53:58.010,com.sec.android.app.shealth,0,9,1.111111,6.0699997,0.25,6fPiwL19M5,com.sec.android.app.shealth,bd72c982-f6c4-4560-a061-f720af5d0516,1634774400000,
1728aa28-d35f-458f-bb3d-3aeaa0847b28.binning_data.json,2021-10-05 07:31:39.649,2021-10-05 07:31:39.649,com.sec.android.app.shealth,-2,4871,1.2512856,3605.38,254.65,VfS0qUERdZ,com.sec.android.app.shealth,1728aa28-d35f-458f-bb3d-3aeaa0847b28,1631059200000,
