com.samsung.shealth.exercise,6195017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,714326,,,,31:10.0,1001,,,,,,,,,35:02.6,35:02.6,,1.6666666,,,,825.39,,58.85,,,,UTC+0900,1pqYBn0PvJ,,,2c9a49fd-8f00-43e4-a5be-47e9aa056c3d.com.samsung.health.exercise.live_data.json,,1.1554809,com.sec.android.app.shealth,,,,43:04.0,2c9a49fd-8f00-43e4-a5be-47e9aa056c3d
,,,,1,,,,4,0,0,,,,,,,,,859591,,,,37:00.0,1001,,,,,30001,,,,15:01.1,15:01.1,,1.4166666,,,1442,895.70996,,86.29,,,,UTC+0900,1pqYBn0PvJ,,,56e31c55-ccf6-4143-abd0-c799602a7d12.com.samsung.health.exercise.live_data.json,,1.0420188,com.sec.android.app.shealth,,,,51:19.0,56e31c55-ccf6-4143-abd0-c799602a7d12
,,,,1,,,,4,0,0,,,,,,,,,1024113,,,,26:03.0,1001,,,,,,,,,26:56.6,26:56.6,,1.5555556,,,,1145.28,,80.81,,,,UTC+0900,1pqYBn0PvJ,,,ae93a459-6b56-43c9-a871-43699a9309d8.com.samsung.health.exercise.live_data.json,,1.1183141,com.sec.android.app.shealth,,,,43:07.0,ae93a459-6b56-43c9-a871-43699a9309d8
,,,,1,,,,4,0,0,,,,,,,,,916404,,,,10:00.0,1001,,,,,,,,,33:49.2,33:49.2,,1.5555556,,,,1025.4,,56.2,,,,UTC+0900,1pqYBn0PvJ,,,2dc85785-040b-4f71-92c1-e56126a94ee3.com.samsung.health.exercise.live_data.json,,1.1189388,com.sec.android.app.shealth,,,,25:16.0,2dc85785-040b-4f71-92c1-e56126a94ee3
,,,,1,,,,4,0,0,,,,,,,,,695604,,,,41:00.0,1001,,,,,30001,,,,55:02.4,55:02.4,,1.5555556,,,1073,732.38,,53.95,,,,UTC+0900,1pqYBn0PvJ,,,d2dbf16a-bdb3-44b7-b609-d788e651ab79.com.samsung.health.exercise.live_data.json,,1.0528692,com.sec.android.app.shealth,,,,52:35.0,d2dbf16a-bdb3-44b7-b609-d788e651ab79
,,,,1,,,,4,0,0,,,,,,,,,811105,,,,41:00.0,1001,,,,,30001,,,,56:01.2,56:01.2,,1.4166666,,,1297,965.7,,69.77,,,,UTC+0900,1pqYBn0PvJ,,,af6fa980-03fd-4208-9a7e-07233d547979.com.samsung.health.exercise.live_data.json,,1.190598,com.sec.android.app.shealth,,,,54:31.0,af6fa980-03fd-4208-9a7e-07233d547979
,,,,1,,,,4,0,0,,,,,,,,,784458,,,,31:03.0,1001,,,,,30001,,,,49:17.6,49:17.6,,1.6111112,,,1332,974.31,,66.56,,,,UTC+0900,1pqYBn0PvJ,,,0d0b3572-1bca-455a-a0a6-74c4581c49ee.com.samsung.health.exercise.live_data.json,,1.2420169,com.sec.android.app.shealth,,,,44:07.0,0d0b3572-1bca-455a-a0a6-74c4581c49ee
,,,,1,,,,4,0,0,,,,,,,,,723305,,,,57:03.0,1001,,,,,,,,,15:02.0,15:02.0,,1.5555556,,,,1038.75,,66.82,,,,UTC+0900,1pqYBn0PvJ,,,952a9056-82d5-45d1-94dc-31534d780fb6.com.samsung.health.exercise.live_data.json,,1.4361161,com.sec.android.app.shealth,,,,09:06.0,952a9056-82d5-45d1-94dc-31534d780fb6
,,,,1,,,,4,0,0,,,,,,,,,665643,,,,38:02.0,1001,,,,,,,,,15:02.1,15:02.1,,1.5555556,,,,580.67,,43.63,,,,UTC+0900,1pqYBn0PvJ,,,94141cbb-4f5a-4c23-a841-855cedb5520a.com.samsung.health.exercise.live_data.json,,0.8723445,com.sec.android.app.shealth,,,,49:07.0,94141cbb-4f5a-4c23-a841-855cedb5520a
,,,,1,,,,4,0,0,,,,,,,,,1024976,,,,27:04.0,1001,,,,,30001,,,,55:01.7,55:01.7,,1.3888888,,,1782,1368.43,,89.05,,,,UTC+0900,1pqYBn0PvJ,,,eb5175f2-6868-46f6-87af-79be7133013f.com.samsung.health.exercise.live_data.json,,1.3350849,com.sec.android.app.shealth,,,,44:08.0,eb5175f2-6868-46f6-87af-79be7133013f
,,,,1,,,,4,0,0,,,,,,,,,703528,,,,01:00.0,1001,,,,,,,,,14:35.2,14:35.2,,1.4444444,,,,924.61,,47.93,,,,UTC+0900,1pqYBn0PvJ,,,6b75bd98-4bf5-499f-8b88-96e8637de9b4.com.samsung.health.exercise.live_data.json,,1.3142476,com.sec.android.app.shealth,,,,12:43.0,6b75bd98-4bf5-499f-8b88-96e8637de9b4
,,,,1,,,,4,0,0,,,,,,,,,910240,,,,36:07.0,1001,,,,,,,,,54:40.0,54:40.0,,1.5,,,,1172.99,,61.04,,,,UTC+0900,1pqYBn0PvJ,,,6916bade-c8e7-4469-9930-3760c5ea5b52.com.samsung.health.exercise.live_data.json,,1.28866,com.sec.android.app.shealth,,,,51:17.0,6916bade-c8e7-4469-9930-3760c5ea5b52
,,,,1,,,,4,0,0,,,,,,,,,689146,,,,28:00.0,1001,,,,,30001,,,,15:01.7,15:01.7,,1.5277778,,,1277,938.75,,63.690002,,,,UTC+0900,1pqYBn0PvJ,,,572004fb-8c0f-4909-8a58-5a437ca35aff.com.samsung.health.exercise.live_data.json,,1.3621932,com.sec.android.app.shealth,,,,39:29.0,572004fb-8c0f-4909-8a58-5a437ca35aff
,,,,1,,,,4,0,0,,,,,,,,,704710,,,,35:00.0,1001,,,,,30001,,,,48:30.9,48:30.9,,1.4808129,,,1208,929.77,,60.29,,,,UTC+0900,1pqYBn0PvJ,,,244ea4c8-ed1b-4ee5-9140-01fa3c855858.com.samsung.health.exercise.live_data.json,,1.3193654,com.sec.android.app.shealth,,,,46:44.0,244ea4c8-ed1b-4ee5-9140-01fa3c855858
e75bc042-a47f-411e-8abe-ff1b94a0f837.live_data_internal.json,,,44.388847,,,,e75bc042-a47f-411e-8abe-ff1b94a0f837.sensing_status.json,7,,,,1,60,,,,,,704872,,,,49:51.9,1001,,-3.608,,86,30001,,-5.78,103,14:49.2,07:31.4,,1.4722222,102.1462,74,1200,826.123,,39.189,116,,,UTC+0900,DQQ9M5Fmpd,,,e75bc042-a47f-411e-8abe-ff1b94a0f837.com.samsung.health.exercise.live_data.json,,1.1720184,com.sec.android.app.shealth,,,,07:30.9,e75bc042-a47f-411e-8abe-ff1b94a0f837
,,,,1,,,,4,0,0,,,,,,,,,1085378,,,,14:00.0,1001,,,,,,,,,35:00.9,35:00.9,,1.4722222,,,,1427.96,,73.71,,,,UTC+0900,1pqYBn0PvJ,,,ca2f9807-ab33-4783-9a82-9c85db22d11a.com.samsung.health.exercise.live_data.json,,1.3156338,com.sec.android.app.shealth,,,,32:05.0,ca2f9807-ab33-4783-9a82-9c85db22d11a
8e2f9f63-3eb7-40d8-bdf4-ba9262e36af0.live_data_internal.json,9780000,,82.11455,0,,,,1,2,0,,1,,0,,,8e2f9f63-3eb7-40d8-bdf4-ba9262e36af0.location_data_internal.json,,702150,,,8e2f9f63-3eb7-40d8-bdf4-ba9262e36af0.com.samsung.health.exercise.location_data.json,39:50.1,1001,,34.703384,106,,30001,,12.703868,,17:17.5,39:50.1,,2.1437912,,,1237,985.08,,80,,0,,UTC+0900,1pqYBn0PvJ,,,8e2f9f63-3eb7-40d8-bdf4-ba9262e36af0.com.samsung.health.exercise.live_data.json,,1.4032577,com.sec.android.app.shealth,26.387856,3.6619236,,53:08.2,8e2f9f63-3eb7-40d8-bdf4-ba9262e36af0
,,,,1,,,,4,0,0,,,,,,,,,886263,,,,18:00.0,1001,,,,,30001,,,,55:01.2,55:01.2,,1.3888888,,,1521,1158.95,,76.43,,,,UTC+0900,1pqYBn0PvJ,,,2abdc47b-7d04-4e30-9435-6db8c0184004.com.samsung.health.exercise.live_data.json,,1.3076818,com.sec.android.app.shealth,,,,32:46.0,2abdc47b-7d04-4e30-9435-6db8c0184004
