com.samsung.shealth.calories_burned.details,6195017,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,a5c8d093-51c4-4c2b-a780-bc161a453243.extra_data.json,0.0,3141937,1629.7112,2021-10-05 07:03:12.107,2021-10-01 01:43:42.853,254.65001,6fPiwL19M5,com.sec.android.app.shealth,a5c8d093-51c4-4c2b-a780-bc161a453243,1631059200000,
,,9a93a40d-29aa-4abd-b447-87049435c7de.extra_data.json,0.0,1398639,1663.8348,2021-10-05 07:03:12.751,2021-10-01 01:43:44.026,111.67,6fPiwL19M5,com.sec.android.app.shealth,9a93a40d-29aa-4abd-b447-87049435c7de,1632528000000,
,,7ad285f0-7fef-4dd4-b420-0c0fa5e4ee07.extra_data.json,0.0,3582058,1534.4797,2021-10-26 03:30:04.073,2021-10-11 15:20:08.091,204.98923,6fPiwL19M5,com.sec.android.app.shealth,7ad285f0-7fef-4dd4-b420-0c0fa5e4ee07,1633996800000,
,,4a18b822-6935-48a4-8e83-6966e7f3723b.extra_data.json,0.0,2188020,1648.3834,2021-10-05 07:03:12.363,2021-10-01 01:43:43.289,184.28,6fPiwL19M5,com.sec.android.app.shealth,4a18b822-6935-48a4-8e83-6966e7f3723b,1631577600000,
,,c51e44c5-a635-46ff-a635-30454ab390fa.extra_data.json,0.0,1717834,1569.0206,2021-10-26 03:30:01.817,2021-10-01 15:51:42.888,128.76001,6fPiwL19M5,com.sec.android.app.shealth,c51e44c5-a635-46ff-a635-30454ab390fa,1633132800000,
,,55b9a141-ca25-4f0b-9e6e-71ac0096a510.extra_data.json,0.0,1435264,1663.1179,2021-10-05 07:03:12.615,2021-10-01 01:43:43.735,111.570015,6fPiwL19M5,com.sec.android.app.shealth,55b9a141-ca25-4f0b-9e6e-71ac0096a510,1632096000000,
,,12ad38d0-a574-48d0-8013-4d6482f17a2a.extra_data.json,0.0,3500033,1535.9995,2021-10-26 03:30:09.067,2021-10-17 18:43:58.060,186.62833,6fPiwL19M5,com.sec.android.app.shealth,12ad38d0-a574-48d0-8013-4d6482f17a2a,1634515200000,
,,269cbef0-ff15-4fb4-a749-582eb2a006c8.extra_data.json,0.0,5387143,1501.0344,2021-10-26 03:30:02.703,2021-10-07 16:38:28.024,263.21292,6fPiwL19M5,com.sec.android.app.shealth,269cbef0-ff15-4fb4-a749-582eb2a006c8,1633651200000,
,,90cea247-f4a8-41a1-bfdc-0758606a5878.extra_data.json,0.0,1062411,1670.4163,2021-10-05 07:03:12.761,2021-10-01 01:43:44.066,83.45,6fPiwL19M5,com.sec.android.app.shealth,90cea247-f4a8-41a1-bfdc-0758606a5878,1632614400000,
,,fd24c27e-9f6a-4f26-a897-bc69c8c8e96d.extra_data.json,0.0,37352,1600.1572,2021-10-26 00:57:02.902,2021-10-23 15:05:29.420,1.62,6fPiwL19M5,com.sec.android.app.shealth,fd24c27e-9f6a-4f26-a897-bc69c8c8e96d,1635033600000,
,,289e1c93-0604-4f7d-b85e-e941a7bb3977.extra_data.json,0.0,3997095,1526.7897,2021-10-26 03:30:05.348,2021-10-13 15:00:00.704,214.66422,6fPiwL19M5,com.sec.android.app.shealth,289e1c93-0604-4f7d-b85e-e941a7bb3977,1634169600000,
,,ff8b7fa2-3e80-4966-9173-e26c43b8df93.extra_data.json,0.0,2100215,1561.9357,2021-10-26 03:30:01.975,2021-10-02 15:00:00.732,165.80002,6fPiwL19M5,com.sec.android.app.shealth,ff8b7fa2-3e80-4966-9173-e26c43b8df93,1633219200000,
,,9b999d47-d1f1-4d19-8bcd-aba5649cb366.extra_data.json,0.0,4403969,1519.251,2021-10-26 03:30:10.014,2021-10-19 19:06:05.530,239.65392,6fPiwL19M5,com.sec.android.app.shealth,9b999d47-d1f1-4d19-8bcd-aba5649cb366,1634688000000,
,,6c4060d4-8901-43de-9200-cafd9f53b579.extra_data.json,0.0,50692,1633.968,2021-10-30 21:40:28.815,2021-10-29 17:06:39.470,3.4,6fPiwL19M5,com.sec.android.app.shealth,6c4060d4-8901-43de-9200-cafd9f53b579,1635552000000,
,,971ebfcf-905c-45cb-944f-7ca2dda45db5.extra_data.json,0.0,6532781,1479.8076,2021-10-26 03:30:02.834,2021-10-08 15:46:29.208,313.08234,6fPiwL19M5,com.sec.android.app.shealth,971ebfcf-905c-45cb-944f-7ca2dda45db5,1633737600000,
,,333fd57a-a643-41d7-a6f4-6249a700e1c0.extra_data.json,0.0,5145459,1537.5609,2021-10-26 18:47:39.513,2021-10-25 20:57:10.365,345.051,6fPiwL19M5,com.sec.android.app.shealth,333fd57a-a643-41d7-a6f4-6249a700e1c0,1635206400000,
,,4ed4a130-b227-47c7-8aff-3b9db6047de6.extra_data.json,0.0,3902102,1528.5497,2021-10-26 03:30:06.536,2021-10-14 16:22:02.005,211.17203,6fPiwL19M5,com.sec.android.app.shealth,4ed4a130-b227-47c7-8aff-3b9db6047de6,1634256000000,
